NO,TICKET,WEEK,SEVERITY,CLIENT,SITE,SOURCE,INCIDENT START,INCIDENT END,SERVICE-IMPACT START (8AM-10PM),SERVICE-IMPACT END (8AM-10PM),SERVICE DOWNTIME,ONSITE,ROOT CAUSE,REMARKS,REVISED BY
81,200996,3,2,Wellness,Vinx::Wellness::5084_Wellness R&F Mall,Monitoring,04/16/2020 17:49:00,04/16/2020 18:23:00,04/16/2020 17:49:00,04/16/2020 18:23:00,0 days 0 hrs 34 mins ,,Others::Customer - Power Outage,Link is up once power is restored ,Farhan
82,200909,3,3,Wellness,Vinx::Wellness::5087_Wellness ABG Falim,Monitoring,04/16/2020 3:25:00,04/16/2020 10:40:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Telco Outage,"Root Cause: WAN Primary - Telco Outage (Customer ELCB /Aircond in SDF room hang)
Solution: Link restored after Reset/Off by TM & maintenance building",Farhan
84,201029,3,3,ABG,Vinx::Aeon BIG::0039_ABG Danau Kota,Monitoring,04/17/2020 3:26:00,04/17/2020 7:34:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link is up once TM reset port ,Shalini
85,201159,3,3,AMY,Vinx::AMY::1020_AMY Ampang Utara (AU2),Monitoring,04/17/2020 17:55:00,04/17/2020 18:37:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link up once Tier Team bounced Tunnel 7 and reset cellular.,Shalini
86,201084,3,3,AMY,Vinx::AMY::1027_AMY Sri Manjung,Monitoring,04/17/2020 11:26:00,04/17/2020 12:59:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link is up once TM modem is rebooted ,Shalini
87,201089,3,3,Wellness,Vinx::Wellness::5029_Wellness ABG Wangsa Maju,Monitoring,04/17/2020 12:24:00,04/17/2020 13:37:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link up once TM reset port and Tier Team bounce Primary Tunnel,Shalini
88,201135,3,3,Wellness,Vinx::Wellness::5079_Wellness Nilai,Monitoring,04/17/2020 15:56:00,04/17/2020 16:44:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Session Hang,Link up once TM done reset port and refresh session,Shalini
89,201432,3,3,Daiso,Vinx::Daiso::5139_Daiso Evo Bangi,Monitoring,04/18/2020 21:59:00,04/27/2020 10:43:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Primary - Modem Hang,Link is monitored up once TM modem rebooted.,Shalini
90,201238,3,3,Daiso,Vinx::Daiso::5133_Daiso Princess Cove,Monitoring,04/18/2020 5:52:00,04/18/2020 12:30:00,,,0 days 0 hrs 0 mins ,,WAN::WAN Backup - Flapping,Link is up once telco reset the SIM connection,Shalini
91,201217,3,3,AMY,Vinx::AMY::1014_AMY Cheras Selatan,Client,04/17/2020 23:23:00,,,,0 days 0 hrs 0 mins ,FE John - 18/4,<Open Ticket>,"Issue: Client escalated on network slowness 
Update: FE John has attended site and check on primary link. Upon checking,found that speed test for upload is below subscribed package. SNR reading also low.
Have escalated to TM to arrange TMFE to check further onsite. 
Remarks:  Site is running on backup link. Primary link has been shut. TMFE already attend the site, the upstream is low/Tested on the SNR and result showing low reading. The internal cabling having an issue. Done notify Vinx IT Network standby, pending update from them.",Shalini
